name,begin_title,begin,scale,em
黄淮,建文四年八月,1402-08-01,0.25,永乐
解缙,建文四年十一月,1402-11-01,4.25,永乐
胡广,永乐五年二月,1407-02-01,11.25,永乐
杨荣,永乐十六年五月,1418-05-01,6.26,永乐
杨士奇,永乐二十二年八月,1424-08-01,19.59,永乐 仁宣 正统
杨溥,正统九年三月,1444-03-01,2.33,正统
曹鼐,正统十一年七月,1446-07-01,3.09,正统
陈循,正统十四年八月,1449-08-01,7.42,景泰
高榖,天顺元年正月,1457-01-01,0.08,天顺
徐有贞,天顺元年二月,1457-02-01,0.33,天顺
许彬,天顺元年六月,1457-06-01,0.08,天顺
李贤,天顺元年七月,1457-07-01,8.67,天顺 成化
陈文,成化二年三月,1466-03-01,0.17,成化
李贤,成化二年五月,1466-05-01,0.59,成化
陈文,成化二年十二月,1466-12-01,1.33,成化
彭时,成化四年四月,1468-04-01,6.92,成化
商辂,成化十一年三月,1475-03-01,2.25,成化
万安,成化十三年六月,1477-06-01,10.34,成化
刘吉,成化二十三年十月,1487-10-01,4.84,弘治
徐溥,弘治五年八月,1492-08-01,5.92,弘治
刘健,弘治十一年七月,1498-07-01,8.25,弘治 正德
李东阳,正德元年十月,1506-10-01,6.17,正德
杨廷和,正德七年十二月,1512-12-01,2.25,正德
梁储,正德十年三月,1515-03-01,2.67,正德
杨廷和,正德十二年十一月,1517-11-01,6.25,正德 嘉靖
蒋冕,嘉靖三年二月,1524-02-01,0.25,嘉靖
毛纪,嘉靖三年五月,1524-05-01,0.17,嘉靖
费宏,嘉靖三年七月,1524-07-01,2.59,嘉靖
杨一清,嘉靖六年二月,1527-02-01,2.58,嘉靖
张璁,嘉靖八年九月,1529-09-01,1.83,嘉靖
翟銮,嘉靖十年七月,1531-07-01,0.17,嘉靖
李时,嘉靖十年九月,1531-09-01,0.17,嘉靖
张璁,嘉靖十一年三月,1532-03-01,0.42,嘉靖
李时,嘉靖十一年八月,1532-08-01,0.67,嘉靖
张璁,嘉靖十二年四月,1533-04-01,2,嘉靖
李时,嘉靖十四年四月,1535-04-01,0.33,嘉靖
费宏,嘉靖十四年八月,1535-08-01,0.17,嘉靖
李时,嘉靖十四年十月,1535-10-01,3.17,嘉靖
夏言,嘉靖十七年十二月,1538-12-01,0.41,嘉靖
顾鼎臣,嘉靖十八年五月,1539-05-01,0,嘉靖
夏言,嘉靖十八年五月,1539-05-01,2.25,嘉靖
翟銮,嘉靖二十年八月,1541-08-01,0.17,嘉靖
夏言,嘉靖二十年十月,1541-10-01,0.75,嘉靖
翟銮,嘉靖二十一年七月,1542-07-01,2.09,嘉靖
严嵩,嘉靖二十三年八月,1544-08-01,1.33,嘉靖
夏言,嘉靖二十四年十二月,1545-12-01,2.08,嘉靖
严嵩,嘉靖二十七年正月,1548-01-01,14.34,嘉靖
徐阶,嘉靖四十一年五月,1562-05-01,6.17,嘉靖 隆庆
李春芳,隆庆二年七月,1568-07-01,2.83,隆庆
高拱,隆庆五年五月,1571-05-01,1.09,隆庆
张居正,隆庆六年六月,1572-06-01,10.01,隆庆 万历
张四维,万历十年六月,1582-06-01,0.83,万历
申时行,万历十一年四月,1583-04-01,8.42,万历
王家屏,万历十九年九月,1591-09-01,0.5,万历
赵志皋,万历二十年三月,1592-03-01,0.84,万历
王锡爵,万历二十一年正月,1593-01-01,1.33,万历
赵志皋,万历二十二年五月,1594-05-01,7.34,万历
沈一贯,万历二十九年九月,1601-09-01,4.83,万历
朱赓,万历三十四年七月,1606-07-01,2.34,万历
李廷机,万历三十六年十一月,1608-11-01,3.84,万历
叶向高,万历四十年九月,1612-09-01,1.92,万历
方从哲,万历四十二年八月,1614-08-01,6.34,万历 泰昌
刘一燝,泰昌元年十二月,1620-12-01,0.83,天启
叶向高,天启元年十月,1621-10-01,2.75,天启
韩爌,天启四年七月,1624-07-01,0.34,天启
朱国祯,天启四年十一月,1624-11-01,0.08,天启
顾秉谦,天启四年十二月,1624-12-01,1.75,天启
黄立极,天启六年九月,1626-09-01,1.17,天启
施凤来,天启七年十一月,1627-11-01,0.33,崇祯
李国,崇祯元年三月,1628-03-01,0.17,崇祯
来宗道,崇祯元年五月,1628-05-01,0.08,崇祯
李标,崇祯元年六月,1628-06-01,0.5,崇祯
韩爌,崇祯元年十二月,1628-12-01,1.08,崇祯
李标,崇祯三年正月,1630-01-01,0.16,崇祯
成基命,崇祯三年三月,1630-03-01,0.5,崇祯
周延儒,崇祯三年九月,1630-09-01,2.75,崇祯
温体仁,崇祯六年六月,1633-06-01,4,崇祯
张至发,崇祯十年六月,1637-06-01,0.83,崇祯
孔贞运,崇祯十一年四月,1638-04-01,0.17,崇祯
刘宇亮,崇祯十一年六月,1638-06-01,0.67,崇祯
薛国观,崇祯十二年二月,1639-02-01,1.33,崇祯
范复粹,崇祯十三年六月,1640-06-01,0.92,崇祯
张四知,崇祯十四年五月,1641-05-01,0.34,崇祯
周延儒,崇祯十四年九月,1641-09-01,1.66,崇祯
陈演,崇祯十六年五月,1643-05-01,0.76,崇祯
蒋德璟,崇祯十七年二月,1644-02-01,0.08,崇祯
魏藻德,崇祯十七年三月,1644-03-01,0.08,崇祯
